% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct	ccId
33243	1	1	1	2	1	24	4904	0	1	1	0
33244	1	1	1	2	0	28	6594	0	1	1	0
33244	1	1	1	2	1	28	6594	0	1	1	0
33250	1	1	1	2	0	28	6594	0	1	1	0
33250	1	1	1	2	1	28	6594	0	1	1	0
33252	1	1	1	2	0	28	6594	0	1	1	0
33252	1	1	1	2	1	28	6594	0	1	1	0
33257	1	1	1	2	0	26	5477	0	1	1	0
33257	1	1	1	2	1	26	5477	0	1	1	0
33258	1	1	1	2	0	24	4904	0	1	1	0
33258	1	1	1	2	1	24	4904	0	1	1	0
33259	1	1	1	2	0	24	4904	0	1	1	0
33259	1	1	1	2	1	24	4904	0	1	1	0
33260	1	1	1	2	0	24	4904	0	1	1	0
33260	1	1	1	2	1	24	4904	0	1	1	0
33261	1	1	1	2	0	24	4904	0	1	1	0
33261	1	1	1	2	1	24	4904	0	1	1	0
33262	1	1	1	2	0	28	6594	0	1	1	0
33262	1	1	1	2	1	28	6594	0	1	1	0
33263	1	1	1	2	0	28	6594	0	1	1	0
33263	1	1	1	2	1	28	6594	0	1	1	0
33264	1	1	1	2	0	26	5477	0	1	1	0
33264	1	1	1	2	1	26	5477	0	1	1	0
33265	1	1	1	2	0	26	5477	0	1	1	0
33265	1	1	1	2	1	26	5477	0	1	1	0
33266	1	1	1	2	0	24	4904	0	1	1	0
33266	1	1	1	2	1	24	4904	0	1	1	0
33267	1	1	1	2	0	24	4904	0	1	1	0
33267	1	1	1	2	1	24	4904	0	1	1	0
33268	1	1	1	2	0	24	4904	0	1	1	0
33268	1	1	1	2	1	24	4904	0	1	1	0
33269	1	1	1	2	0	24	4904	0	1	1	0
33269	1	1	1	2	1	24	4904	0	1	1	0
33270	1	1	1	2	0	24	4904	0	1	1	0
33270	1	1	1	2	1	24	4904	0	1	1	0
33271	1	1	1	2	0	24	4904	0	1	1	0
33271	1	1	1	2	1	24	4904	0	1	1	0
33272	1	1	1	2	0	28	6594	0	1	1	0
33272	1	1	1	2	1	28	6594	0	1	1	0
